State,Duration,StartTime,EndTime
¿ô,9.0 ,2024/5/25 02:11,2024/5/25 02:20
²L¯v,14.0 ,2024/5/25 02:20,2024/5/25 02:34
²L¯v,2.0 ,2024/5/25 02:34,2024/5/25 02:36
²L¯v,9.0 ,2024/5/25 02:36,2024/5/25 02:45
²`¯v,76.0 ,2024/5/25 02:45,2024/5/25 04:01
²L¯v,9.0 ,2024/5/25 04:01,2024/5/25 04:10
²L¯v,19.0 ,2024/5/25 04:10,2024/5/25 04:29
²L¯v,30.0 ,2024/5/25 04:29,2024/5/25 04:59
²L¯v,2.0 ,2024/5/25 04:59,2024/5/25 05:01
²L¯v,12.0 ,2024/5/25 05:01,2024/5/25 05:13
²L¯v,2.0 ,2024/5/25 05:13,2024/5/25 05:15
²L¯v,20.0 ,2024/5/25 05:15,2024/5/25 05:35
²L¯v,8.0 ,2024/5/25 05:35,2024/5/25 05:43
²L¯v,11.0 ,2024/5/25 05:43,2024/5/25 05:54
²L¯v,3.0 ,2024/5/25 05:54,2024/5/25 05:57
²L¯v,39.0 ,2024/5/25 05:57,2024/5/25 06:36
²L¯v,4.0 ,2024/5/25 06:36,2024/5/25 06:40
²L¯v,19.0 ,2024/5/25 06:40,2024/5/25 06:59
²L¯v,18.0 ,2024/5/25 06:59,2024/5/25 07:17
²L¯v,11.0 ,2024/5/25 07:17,2024/5/25 07:28
²L¯v,15.0 ,2024/5/25 07:28,2024/5/25 07:43
²L¯v,8.0 ,2024/5/25 07:43,2024/5/25 07:51
²L¯v,3.0 ,2024/5/25 07:51,2024/5/25 07:54
²L¯v,44.0 ,2024/5/25 07:54,2024/5/25 08:38
²L¯v,1.0 ,2024/5/25 08:38,2024/5/25 08:39
²L¯v,41.0 ,2024/5/25 08:39,2024/5/25 09:20
²`¯v,25.0 ,2024/5/25 09:20,2024/5/25 09:45
²L¯v,9.0 ,2024/5/25 09:45,2024/5/25 09:54
²L¯v,4.0 ,2024/5/25 09:54,2024/5/25 09:58
²L¯v,10.0 ,2024/5/25 09:58,2024/5/25 10:08
²L¯v,50.0 ,2024/5/25 10:08,2024/5/25 10:58
²L¯v,8.0 ,2024/5/25 10:58,2024/5/25 11:06
²L¯v,21.0 ,2024/5/25 11:06,2024/5/25 11:27
²L¯v,12.0 ,2024/5/25 11:27,2024/5/25 11:39
²L¯v,15.0 ,2024/5/25 11:39,2024/5/25 11:54
¿ô,339.0 ,2024/5/25 11:54,2024/5/25 17:33
¿ô,7.0 ,2024/5/25 17:33,2024/5/25 17:40
¿ô,213.0 ,2024/5/25 17:40,2024/5/25 21:13
¿ô,8.0 ,2024/5/25 21:13,2024/5/25 21:21
¿ô,17.0 ,2024/5/25 21:21,2024/5/25 21:38
¿ô,37.0 ,2024/5/25 21:38,2024/5/25 22:15
¿ô,96.0 ,2024/5/25 22:15,2024/5/25 23:51
²L¯v,5.0 ,2024/5/25 23:51,2024/5/25 23:56
¿ô,18.0 ,2024/5/25 23:56,2024/5/26 00:14
²L¯v,12.0 ,2024/5/26 00:14,2024/5/26 00:26
¿ô,26.0 ,2024/5/26 00:26,2024/5/26 00:52
²L¯v,8.0 ,2024/5/26 00:52,2024/5/26 01:00
²L¯v,16.0 ,2024/5/26 01:00,2024/5/26 01:16
²L¯v,5.0 ,2024/5/26 01:16,2024/5/26 01:21
¿ô,9.0 ,2024/5/26 01:21,2024/5/26 01:30
²L¯v,8.0 ,2024/5/26 01:30,2024/5/26 01:38
²L¯v,9.0 ,2024/5/26 01:38,2024/5/26 01:47
¿ô,9.0 ,2024/5/26 01:47,2024/5/26 01:56
²L¯v,11.0 ,2024/5/26 01:56,2024/5/26 02:07
²L¯v,5.0 ,2024/5/26 02:07,2024/5/26 02:12
²L¯v,21.0 ,2024/5/26 02:12,2024/5/26 02:33
²`¯v,52.0 ,2024/5/26 02:33,2024/5/26 03:25
